,Recipe_name,Protein,Carbs,Fat
374,Green Tea Ice Cream,11.9 g,143.33 g,92.97 g
375,Asparagus recipes,11.74 g,10.23 g,32.11 g
376,Ultimate Vegan Thanksgiving Gravy,27.2 g,102.17 g,42.17 g
377,Perfect Vegan Pie Crust,29.06 g,223.51 g,111.76 g
378,Thyme roasted vegetables,8.56 g,146.03 g,42.54 g
379,Vegan Banana Cashew Yogurt,29.25 g,102.35 g,62.48 g
380,Homemade Vegan Kimchi Recipe,33.83 g,108.25 g,14.19 g
381,Easy Vegan Pad Thai,69.47 g,523.83 g,45.24 g
382,Tomato Tart,17.48 g,100.57 g,44.06 g
383,Vegan Chocolate Orange Muffins,34.66 g,266.45 g,64.99 g
384,Pecan Butter,18.36 g,47.61 g,162.93 g
385,Vegan Seafood Spelt Pasta,54.91 g,264.71 g,49.65 g
386,Raw vegan spag bol,78.97 g,245.02 g,44.98 g
387,Maple Frosted Pumpkin Cake Recipe,66.83 g,938.29 g,252.26 g
388,Vegan Vanilla Cashew Cream,18.23 g,31.25 g,43.86 g
389,Vegan Mediterranean Pita Pockets,120.28 g,197.28 g,115.53 g
390,Vegan Green-Goddess Dip,3.6 g,13.98 g,71.09 g
391,Vegan Caprese Salad recipes,57.58 g,46.33 g,29.68 g
392,Easy Green Chile Quesadilla Recipe With Sprouted Corn Tortillas,34.34 g,48.42 g,50.87 g
393,"Beetroot, hummus & crispy chickpea sub sandwich",59.07 g,262.48 g,42.64 g
394,Vegan Mushroom Gravy recipes,17.32 g,106.32 g,57.73 g
395,Simple Vegan Chocolate Cake,38.71 g,545.64 g,135.55 g
396,Vegan Banana Ice Cream,11.88 g,169.1 g,97.21 g
397,Vegan Spiced Cashew Rice,45.72 g,211.44 g,86.92 g
398,Vegan Carrot Jalapeño Soup,20.77 g,90.18 g,59.76 g
399,Vegan Sweet Squash Soup,6.77 g,102.28 g,23.03 g
400,Vegan Avocado Ceviche recipes,9.15 g,39.7 g,43.86 g
401,5-Minute Vegan Breakfast Burritos,76.01 g,132.07 g,50.95 g
402,Veggie Veggie Vegan Soup,20.35 g,123.04 g,29.02 g
403,Best-Ever Vegan Meatballs,35.95 g,114.25 g,28.96 g
404,Vegan Lemon Fettuccine Alfredo,85.42 g,292.08 g,91.47 g
405,No-Oil Balsamic Dressing,33.28 g,101.9 g,2.99 g
406,Vegan bean chilli fries,50.83 g,249.54 g,90.69 g
407,All the 'melon Ceviche (vegan),14.32 g,122.56 g,31.66 g
408,Vegan Moroccan Harira recipes,127.16 g,430.33 g,43.33 g
409,Vegan Cream Of Broccoli Soup,41.97 g,142.86 g,18.91 g
410,Vegan Caesar Salad recipes,55.62 g,193.4 g,143.75 g
411,Vegan and Gluten-Free Gravy,29.69 g,49.33 g,16.42 g
412,Miso-Agave Mayonnaise (Vegan) Recipe,18.36 g,51.95 g,84.05 g
413,Vegan Sweet Potato Chili,44.2 g,231.63 g,39.97 g
414,Orange-Walnut Biscotti,82.16 g,393.23 g,137.8 g
415,Vegan Kale Caesar Salad,44.65 g,114.84 g,53.56 g
416,Vegan “Cheese” Spread recipes,70.39 g,99.61 g,130.81 g
417,Smoky Black Bean Enchiladas,99.51 g,308.46 g,48.72 g
418,Raw Vegan Zoodles with Romesco,52.57 g,234.71 g,59.35 g
419,Vegan Chorizo for Omnivores Recipe,170.52 g,351.7 g,94.17 g
420,15 Minute Cauliflower Fried Rice recipes,40.74 g,57.84 g,43.11 g
421,Spicy Vegan Sloppy Joes,52.1 g,233.65 g,50.05 g
422,Vegan Thai Cucumber Salad,16.75 g,48.12 g,47.06 g
423,Eggless Molten Lava Cake (In the Microwave),4.73 g,38.99 g,18.82 g
424,Vegan Cauliflower Fried Rice,42.07 g,84.73 g,76.58 g
425,Vegetable Stock From 'Afro-Vegan',0.56 g,3.29 g,0.06 g
426,Pecan-stuffed dates,23.83 g,282.81 g,103.33 g
427,Reeses Pie recipes,119.7 g,385.64 g,191.84 g
428,Spicy Vegan Sloppy Joes,52.1 g,233.65 g,50.05 g
429,Vegan Dal Makhni recipes,68.31 g,177.32 g,70.78 g
430,Vegan White Bean Chili,89.72 g,304.98 g,67.7 g
431,Raw Walnut Brownies (vegan + gf),8.87 g,112.76 g,41.16 g
432,Vegan: Breakfast Garlic Toast Recipe,33.25 g,115.8 g,63.11 g
433,Vegan Pad Thai with Tofu,66.38 g,195.01 g,63.49 g
434,Vegan Black Sesame Milkshakes,18.8 g,76.81 g,117.06 g
435,Delicious Vegan Chili recipes,42.13 g,167.98 g,24.93 g
436,Vegan Pinto Bean Chili,381.55 g,1264.46 g,37.23 g
437,Vegan Chili and Cornbread Casserole,319.54 g,1159.0 g,291.7 g
438,Healthy Vegan Yoga Bowl,60.73 g,188.21 g,18.76 g
439,Vegan Portobello Muffuletta recipes,47.45 g,189.36 g,70.33 g
440,Baked Vegan Doughnuts recipes,15.23 g,304.34 g,67.71 g
441,Vegan Chipotle Lentil Tacos,136.34 g,428.83 g,53.51 g
442,Purple Carrot’s Loaded Nachos,126.73 g,425.71 g,338.92 g
443,Vegan Black Bean Burgers,113.81 g,338.17 g,38.43 g
444,Chocolate Mocha Pie,39.03 g,348.34 g,75.65 g
445,Vegan Crispy Roasted Cauliflower,33.34 g,42.56 g,46.01 g
446,Vegan Mixed Berry Panna Cotta,14.9 g,111.97 g,50.97 g
447,Vegan Butter Chicken recipes,52.94 g,121.02 g,76.27 g
448,Hearty Vegetable Stock (Vegan) Recipe,0.46 g,2.66 g,0.12 g
449,Beetroot & red onion tarte tatin,47.43 g,319.17 g,232.71 g
450,Raspberry Lemon Cake,26.36 g,279.82 g,58.73 g
451,Vegan Pulled Mushroom BBQ Sandwiches,50.04 g,300.89 g,48.65 g
452,Vegan Bakery-Style Blueberry Muffins,60.67 g,558.45 g,19.72 g
453,Carnitas tenderloin tacos,71.06 g,54.84 g,66.08 g
454,Canadian apple butter,2.49 g,135.45 g,25.78 g
455,"Pantry Bacon (vegan, gluten free)",0.92 g,79.66 g,27.61 g
456,Raw Vegan Coconut Almond Macaroons,36.09 g,114.15 g,126.25 g
457,Burgers with Chunky Grilled Vegetables,52.87 g,100.71 g,28.39 g
458,Vegan Broccoli Cream Soup Recipe,23.5 g,92.68 g,28.95 g
459,Vegan chocolate banana ice cream,1.61 g,27.46 g,0.63 g
460,Patatas Bravas,25.85 g,207.13 g,64.9 g
461,"Big Quesadillas with Refried Beans, Spinach, and Avocado",51.06 g,204.95 g,54.93 g
462,"Charred cauliflower, lemon & caper orzo",19.38 g,93.24 g,11.53 g
463,Mango-Raspberry Vegan Shake recipes,4.2 g,164.16 g,14.87 g
464,Healthy Vegan German Potato Salad,28.42 g,244.78 g,1.47 g
465,Red cabbage with coriander seed,4.48 g,111.57 g,15.81 g
466,Chickpeas With Spring Greens (Vegan),39.1 g,139.69 g,22.25 g
467,Fully Loaded Vegan Burritos,67.39 g,364.68 g,36.02 g
468,Spicy Vegan Refried Beans Recipe,100.45 g,309.31 g,61.96 g
469,Cheesy Vegan Brussels Sprout Chips,12.37 g,27.62 g,14.54 g
470,Trinidad Pholourie (Gluten Free & Vegan),52.36 g,390.02 g,84.29 g
471,Vegan Whipped Coconut Sweet Potatoes,7.42 g,82.5 g,24.29 g
472,Olive-Artichoke Eggplant Rolls,21.24 g,79.57 g,92.14 g
473,Vegan Jelly-Filled Muffins Recipe,20.55 g,440.45 g,79.32 g
474,RAW VEGAN BLOODY MARY recipes,5.99 g,29.77 g,1.48 g
475,Hungarian Apple Crumb Kugel,17.65 g,504.27 g,94.97 g
476,Zucchini Verde Vegan Enchiladas,91.98 g,243.48 g,112.79 g
477,Asian-Style Lettuce Wraps,50.77 g,54.64 g,18.12 g
478,Vegan chickpea curry jacket potatoes,76.95 g,355.52 g,41.04 g
479,Vegan Fluffy Buttercream Frosting recipes,1.19 g,424.99 g,193.24 g
480,Vegan Thai Summer Squash Vichyssoise,44.26 g,154.44 g,61.48 g
481,Vegan Cream of Broccoli Soup,50.28 g,107.77 g,31.46 g
482,Vegan Vanilla Ice Cream recipes,25.52 g,107.14 g,61.4 g
483,Raw Vegan Fig-Vanilla Jam,3.26 g,61.03 g,3.23 g
484,Vegan Bakery-Style Banana Muffins,54.07 g,584.1 g,8.27 g
485,Banana Cake with Peanut Butter Frosting recipes,33.4 g,355.7 g,147.51 g
486,Banana Bread for One,2.58 g,40.25 g,14.28 g
487,Vegan Spinach and Artichoke Dip,51.29 g,101.78 g,127.63 g
488,Vegan Stuffing with Mushrooms and Leeks,66.77 g,281.85 g,107.09 g
489,Vegan Tofu and Spinach Scramble,70.95 g,39.43 g,62.98 g
490,Spicy Cabbage Slaw (vegan) Recipe,5.78 g,84.31 g,0.89 g
491,VEGAN PENNE WITH VODKA SAUCE,107.55 g,480.93 g,253.29 g
492,Vegan Pumpkin Pie Ice Cream,16.63 g,173.09 g,43.5 g
493,Vegan Mint Chip Ice Cream,39.05 g,157.15 g,134.2 g
494,Grilled Portobello Mushroom Burgers,43.5 g,164.35 g,27.76 g
495,Raspberry Mousse recipes,39.86 g,167.6 g,36.62 g
496,Cajun Portobello Sandwich with Avocado and Rémoulade,57.79 g,210.99 g,172.74 g
497,Vegan Macaroni and Cheese recipes,193.15 g,523.06 g,199.57 g
498,Vegan Tofu Green Goddess Dressing,6.27 g,18.38 g,77.51 g
499,Vegan Sweet Potato Malai Kofta,36.9 g,128.0 g,128.65 g
500,Easy Vegan Pad Thai Supreme,97.94 g,217.78 g,168.32 g
501,Gluten-Free Balsamic Zucchini Scones,20.83 g,236.24 g,117.68 g
502,Vegan Lasagna with Roasted Vegetables,163.88 g,380.69 g,90.7 g
503,RAW VEGAN CHOCOLATE CAKE recipes,64.58 g,545.79 g,182.41 g
504,Creamy Vegan Butternut Squash Carbonara,109.29 g,444.43 g,60.41 g
505,RAW VEGAN DONUT HOLES recipes,27.04 g,203.88 g,72.04 g
506,Spring Has Sprung Salad recipes,17.79 g,61.94 g,14.16 g
507,Vegan Roasted Sweet Potato Quesadillas,77.95 g,361.1 g,76.6 g
508,Homemade 'Reese's Cups' Recipe,95.7 g,445.64 g,398.74 g
509,Vegan Green Bean Casserole Recipe,41.54 g,127.28 g,418.85 g
510,Chilled Avocado Soup,11.34 g,45.35 g,81.6 g
511,Creamy Vegan Herb Salad Dressing,14.5 g,6.77 g,34.26 g
512,Super Healthy Vegan Hummus Wrap,22.54 g,64.48 g,36.5 g
513,Vegan Portobello and Peach Burger,79.96 g,381.1 g,254.75 g
514,Creamy Vegan Avocado Potato Salad,26.81 g,185.65 g,60.99 g
515,Vegan Pumpkin Pie Ice Cream,16.63 g,173.09 g,43.5 g
516,Vegan Cauliflower Steaks with Mushroom Gravy,37.21 g,111.41 g,69.17 g
517,"The Happy Herbivore's Easy, Mock Tuna Salad Recipe",102.57 g,315.32 g,37.81 g
518,Vegan Cauliflower Fettuccine Alfredo with Kale,75.91 g,290.12 g,71.3 g
519,Smokin' Hot Vegan Vaquero Chili,57.35 g,191.42 g,17.06 g
520,Soy-Free Vegan Mayonnaise recipes,2.47 g,12.91 g,173.68 g
521,Paleo Honey Cake,87.32 g,258.25 g,259.21 g
522,"Homemade Vegan ""Kit Kat"" Bars",54.69 g,511.03 g,283.58 g
523,Spinach & Dill Pasta Salad,17.4 g,70.76 g,24.13 g
524,Vegan Cream of Broccoli Soup recipes,41.97 g,142.86 g,18.91 g
525,Indian Cauliflower with Black Mustard Seeds,14.68 g,48.25 g,45.34 g
526,5 Minute Vegan Kale Pesto recipes,13.62 g,20.92 g,135.28 g
527,Mexican Quinoa Bake,146.79 g,496.75 g,81.22 g
528,Pantry Thai vegan chickpea pasta,119.07 g,530.39 g,176.66 g
529,Raw Mini Key Lime Pies,8.55 g,164.25 g,92.62 g
530,Vegan Italian Garbanzo Bean Soup,29.6 g,113.87 g,21.94 g
531,Recipe: Vegan Sweet Potato Chowder,17.31 g,201.34 g,28.75 g
532,Italian Wedding Soup,125.25 g,163.89 g,50.35 g
533,Vegan Carrot Ginger Coconut Soup,29.08 g,129.28 g,68.93 g
534,RAW VEGAN SPECIAL BROWNIES recipes,33.59 g,250.48 g,358.36 g
535,Vegan Dark Chocolate Coconut Tart,32.24 g,221.1 g,103.54 g
536,Vegan Burrito Bowls with Cauliflower Rice,25.61 g,50.07 g,58.11 g
537,Soy-Free Vegan Mac and Cheese,74.62 g,161.63 g,11.77 g
538,Paleo and Vegan Pesto stuffed mushrooms,10.73 g,15.5 g,49.29 g
539,Vegan Dan Dan Noodles Recipe,45.41 g,189.76 g,105.4 g
540,Eggless Tofu Salad,54.39 g,29.82 g,38.61 g
541,The Best Vegan Tacos Ever,66.84 g,319.94 g,135.48 g
542,Vegan Lemon-Dill Cashew Dip,57.76 g,99.83 g,193.27 g
543,Summer Baked Beans,10.34 g,402.59 g,7.31 g
544,Green Goddess Dressing (Vegan) recipes,6.86 g,26.61 g,84.01 g
545,Carrot Mustard Soup,69.1 g,147.26 g,30.53 g
546,Vegan Creamy Curried Pumpkin Soup,63.88 g,290.85 g,179.29 g
547,Vegan Banana Coconut Ice Cream Recipe,12.53 g,369.55 g,105.65 g
548,Crabless Cakes with Hearts of Palm and Corn,30.54 g,144.93 g,42.23 g
549,"Chana Saag (vegan, gluten free)",60.24 g,155.38 g,44.87 g
550,Tofu Burger,122.37 g,445.66 g,80.26 g
551,Mushroom Sun Burger,45.55 g,85.84 g,81.32 g
552,Mushroom Chia Risotto,42.76 g,409.11 g,63.48 g
553,Tangy Vegan Potato Salad Recipe,57.93 g,304.53 g,130.47 g
554,Spicy Pumpkin Soup,23.85 g,148.88 g,17.78 g
555,Creamy Vegan Fingerling Potato Salad Recipe,20.82 g,185.35 g,55.76 g
556,Pumpkin Spice Whoopie Pies (Vegan),44.86 g,408.68 g,110.29 g
557,Petite Quiches Three Ways,115.56 g,354.44 g,204.12 g
558,"Vegan ""Pancit Bihon"" with Spaghetti Squash",14.17 g,90.83 g,32.26 g
559,Vegan Garlic Scrape and Mushroom Rice,29.91 g,145.23 g,15.92 g
560,Baked Eggplant Fries Recipe,61.99 g,238.33 g,30.15 g
561,Toasted Hazelnut and Fig Cake (Vegan),63.19 g,453.89 g,357.0 g
562,Naughty & Nice Vegan Enchilada Casserole,84.97 g,339.36 g,32.59 g
563,Vegan Harvest Vegetable Tart recipes,92.46 g,214.57 g,116.61 g
564,Peanut-Tamarind Dipping Sauce for Spring Rolls or Satay Recipe,24.35 g,36.34 g,66.36 g
565,Vegan Pumpkin Pecan Pie recipes,87.99 g,496.82 g,335.19 g
566,Gluten-Free Vegan Stuffed Potatoes,98.63 g,691.07 g,33.85 g
567,Miso-Marinated Portobello Carpaccio (Vegan) Recipe,11.93 g,38.64 g,69.78 g
568,Vegan Avocado Lime Ice Cream Recipe,12.58 g,259.48 g,88.12 g
569,Oatmeal Banana Chocolate Chip Cake {Vegan},46.97 g,639.42 g,212.42 g
570,Vegan Peach Crumble Coffee Cake,34.97 g,392.01 g,164.88 g
571,Recipe: 6-Ingredient Vegan Enchilada Casserole,51.99 g,239.48 g,95.83 g
572,Best-Ever Vegan Mac & Cheese,134.86 g,514.32 g,144.12 g
573,Wholesome Holiday Cookies (vegan + gluten-free),36.43 g,157.33 g,208.54 g
574,Vegan Mint Chip Ice Cream Recipe,28.89 g,288.27 g,249.93 g
575,"Tofu ""Egg"" Salad",68.9 g,30.83 g,70.95 g
576,"Strawberry Kiwi Daiquiri Cupcakes with Kiwi Curd, Strawberry Rum Frosting, and Strawberry Rum Shooter Garnish",92.28 g,2314.02 g,665.2 g
577,Loaded Organic Baked Potato with Broccoli and Cheese,59.69 g,179.9 g,109.31 g
578,Vegan Soft Serve Ice Cream recipes,7.04 g,90.76 g,3.39 g
579,Zucchini Za’atar Vegan Scones recipes,37.77 g,213.68 g,129.79 g
580,VIETNAMESE RICE NOODLE SOUP (VEGAN PHO),31.1 g,207.84 g,18.92 g
581,Deep Dish Chocolate Peanut Butter Ice Cream Cake recipes,112.35 g,575.76 g,249.51 g
582,Japanese Pancakes (Okonomiyaki) recipes,27.62 g,110.94 g,35.07 g
583,Spiced Coconut Lentil Soup recipes,56.77 g,157.3 g,68.75 g
584,Veggie Kebabs With Vegan Pesto Sauce,107.45 g,103.38 g,222.45 g
585,Aromatic Coconut Rice recipes,35.06 g,342.77 g,69.42 g
586,Fruit & nut butternut squash quinoa,79.26 g,308.07 g,131.58 g
587,Slow-Cooker Vegan Lentil Curry,112.09 g,408.52 g,18.4 g
588,Instant-Pot Vegan Cauliflower Queso,27.68 g,59.25 g,18.02 g
589,Vegan Pumpkin Pecan Pie recipes,84.98 g,439.4 g,274.26 g
590,Vegan Carrot Spice Muffins recipes,52.3 g,443.44 g,47.22 g
591,5 Minute Vegan Pumpkin Soup recipes,30.87 g,168.45 g,44.04 g
592,Date parcels stuffed with frangipane and pomegranate,45.98 g,511.58 g,285.24 g
593,Vegan Coconut Banana Ice Cream recipes,12.71 g,127.44 g,84.77 g
594,Vegan Lentil Bolognese with Cashew Parmesan,113.48 g,482.33 g,37.83 g
595,Grilled Broccoli and Bread Salad with Pickled Shallots,42.75 g,263.75 g,130.8 g
596,"Celeriac, hazelnut & truffle soup",52.69 g,168.76 g,110.68 g
597,Rice Spaghetti with Green Vegan Basil Pesto,19.28 g,141.13 g,67.74 g
598,Easy Vegan Garlic Scape Pesto recipes,84.75 g,33.82 g,112.08 g
599,Vegan Saffron-Almond Rice Pudding Recipe,42.64 g,336.11 g,40.95 g
600,The Best Vegan Mapo Tofu Recipe,75.35 g,69.27 g,136.84 g
601,15-Minute Creamy Tomato Soup (Vegan) Recipe,27.5 g,129.28 g,116.19 g
602,Eggless Salad,42.76 g,30.02 g,25.53 g
603,"Mushroom, Zucchini, and Black Bean Enchiladas",69.31 g,322.33 g,106.83 g
604,The Trifecta Burger,105.55 g,94.95 g,227.09 g
605,"King Oyster Mushroom ""BLT"" with Basil Mayonnaise recipes",25.16 g,78.74 g,51.15 g
606,Callaloo - Trinidadian (Vegan) Cream of Spinach,23.33 g,58.48 g,125.79 g
607,Crispy Fish 'n' Rainbow Chips,203.23 g,155.01 g,146.44 g
608,Naan,72.17 g,442.77 g,69.4 g
609,"Chocolate-Covered Potato Chips with Coconut, Chile Powder, & Toasted Almonds",65.69 g,379.93 g,327.43 g
610,Vegan Coconut Zucchini Chocolate Chip Bread,45.07 g,364.82 g,232.78 g
611,Roasted Cauliflower and Almond Risotto,71.43 g,255.83 g,115.68 g
612,Vegan Kale and White Bean Korma,110.61 g,344.48 g,46.11 g
613,Vegan Stovetop-Style Macaroni and Cheese Recipe,57.7 g,264.11 g,151.45 g
614,Vegan Shiitake Miso Cleansing Soup recipes,39.68 g,202.63 g,9.48 g
615,Salmon with Stone Fruit and Parmesan Salad,87.02 g,43.49 g,122.55 g
616,Vegan Caesar Salad with Polenta Croutons,75.65 g,219.09 g,54.16 g
617,Mango Rice with Mustard,18.61 g,178.66 g,51.56 g
618,Satay sweet potato curry,30.05 g,156.04 g,107.5 g
619,Bean & halloumi stew,54.94 g,133.87 g,72.08 g
620,Yellow Split-Pea Soup,113.42 g,313.22 g,12.41 g
621,Lamington babka - chocolate and coconut vegan brioche,67.84 g,520.26 g,136.02 g
622,(Absolutely not a Falafel) Vegan Lentil Falafel,46.33 g,133.73 g,2.36 g
623,Vegan Lentil Bolognese with Cashew Parmesan,170.99 g,544.44 g,105.64 g
624,Spinach Fettuccine with Tangy Grilled Summer Squash,79.87 g,404.91 g,132.08 g
625,Spicy Vegan Dragon Noodle Salad Recipe,57.2 g,255.09 g,90.89 g
626,Meal-Prep Vegan Moroccan Lettuce Wraps,181.37 g,572.53 g,54.59 g
627,Savory Vegan Chickpea Crêpes With Vegetable Ragout,47.23 g,162.33 g,31.12 g
628,Fudgy Brownies recipes,61.79 g,603.55 g,215.47 g
629,Papadums With Whipped Dal,55.86 g,135.98 g,58.81 g
630,Oil-free Vegan Pesto Pasta Salad,31.33 g,303.87 g,42.21 g
631,Vegan Pasta Alfredo With Two Stroganoff Variations,70.53 g,254.29 g,34.09 g
632,Repair and Recover Vegan Chia Pudding recipes,8.47 g,26.41 g,9.87 g
633,Kimchi Udon Noodle Soup,55.59 g,161.65 g,24.36 g
634,Orange Chocolate Vegan Cheese Cake recipes,79.19 g,398.7 g,470.33 g
635,Vegan Chocolate-Peanut Butter Pudding Cups,65.49 g,340.58 g,271.16 g
636,Creamy Vegan Linguine with Wild Mushrooms recipes,102.78 g,374.81 g,91.03 g
637,Shiny Happy Poppers,32.06 g,200.02 g,115.51 g
638,Spinach Dip,30.78 g,43.04 g,132.01 g
639,Vegan Salty Peanut Butter Ice Cream Recipe,79.44 g,310.67 g,351.96 g
640,Vegan Sweet Potato and Pumpkin Pudding Cups,17.94 g,154.04 g,73.94 g
641,Sticky toffee pear pudding,38.94 g,975.75 g,206.75 g
642,Foolproof Vegan Vanilla Coconut Ice Cream Recipe,22.14 g,253.66 g,219.45 g
643,KALE + EDAMAME DUMPLINGS w/ SIMPLE DIPPING SAUCE recipes,74.92 g,368.27 g,22.84 g
644,Vegan Quinoa-Stuffed Grilled Zucchini recipes,36.15 g,107.22 g,72.8 g
645,"Vegan, Gluten Free Butternut Squash Gratin",104.45 g,273.06 g,62.21 g
646,Vegan Toasted Coconut And Pistachio Ice Cream,15.14 g,143.93 g,108.29 g
647,Vegan Dark Chocolate-Avocado Cake recipes,70.04 g,956.9 g,298.71 g
648,Chana Masala Pockets with Tofu and Arugula,212.76 g,609.53 g,108.18 g
649,Vegan Chocolate Cake with Creamy Chocolate Filling,82.81 g,942.6 g,262.43 g
650,Vegan Quinoa-Cranberry Stuffed Acorn Squash,45.69 g,339.78 g,67.84 g
651,Karina's Gluten-Free Pumpkin Pie With Praline And Coconut-Pecan Crust,43.53 g,604.47 g,340.12 g
652,Vegan Vanilla Bean Coconut Milk Ice Cream,17.2 g,154.45 g,180.78 g
653,Strawberries with Pomegranate Molasses and Vegan Whip Cream,16.29 g,206.68 g,134.38 g
654,Vegan Wild-Rice-Stuffed Butternut Squash,37.1 g,306.15 g,77.66 g
655,Vegan Seitan and Mushroom Ragù Bolognese Recipe,132.82 g,110.63 g,99.64 g
656,Mini Vegan Key Lime Icebox Pies,34.73 g,315.21 g,801.39 g
657,Foolproof Vegan Chocolate Coconut Ice Cream Recipe,28.47 g,271.83 g,223.87 g
658,Vegan Shepherd’s Pie with Gravy recipes,42.83 g,360.03 g,54.61 g
659,Recipe: Vegan Creamy Curried Cauliflower Soup,32.73 g,97.53 g,95.5 g
660,Creamy Vegan Saag Paneer (With Tofu) Recipe,50.62 g,81.39 g,62.87 g
661,Spiced Butternut Squash Lentil Soup (Vegan),64.65 g,236.09 g,33.82 g
662,"Gluten-Free, Vegan Cranberry-Almond Tartlets",71.0 g,418.03 g,177.94 g
663,Flying Tofu Wedges,56.97 g,25.88 g,37.72 g
664,"Vegan Quinoa, Broccoli, and Kale Curry Recipe",42.54 g,161.71 g,55.0 g
665,"Vegan Coconut, Lime, and Rum Ice Cream Recipe",22.2 g,253.22 g,219.46 g
666,Easy Vegan Pressure-Cooker Miso Risotto Recipe,37.37 g,347.3 g,87.9 g
667,Mak Kimchi,16.34 g,36.04 g,1.92 g
668,Amaretto-spiked Chocolate Mousse recipes,51.89 g,188.64 g,99.61 g
669,"Easy Flaked Almond ""Tuna"" Salad recipes",36.59 g,50.97 g,86.5 g
670,Southern Skillet Black-Eyed Peas with Quick Buttery Biscuits,83.85 g,497.26 g,304.42 g
671,"Butternut, chestnut & lentil cake",123.25 g,624.69 g,113.28 g
672,Pink Pasta - with a creamy vegan vegetable sauce,63.96 g,356.1 g,16.77 g
673,Garlic Potato Kale Cakes,39.38 g,301.21 g,42.49 g
674,Ultimate Vegan Lentil Walnut Loaf recipes,76.55 g,333.74 g,32.63 g
675,"Homemade Baileys Irish Cream, made vegan. recipes",8.86 g,93.2 g,117.82 g
676,"Vegan Potato, Pepper and Olive Phyllo Cups",65.91 g,373.92 g,94.34 g
677,Barbecued Tofu Burger,66.13 g,259.53 g,41.51 g
678,5 Ingredient No Bake Vegan Date Squares recipes,100.09 g,831.04 g,179.01 g
679,Colin Quinn's Irish Lamb Stew recipes,282.7 g,351.37 g,349.13 g
680,Sweet Potato-Black Bean Burgers,78.61 g,299.8 g,66.66 g
681,Gluten- and Dairy-Free Pie Crust,19.84 g,146.62 g,117.59 g
682,Homemade Vegan Burgers That Don't Suck Recipe,116.52 g,408.38 g,173.73 g
683,Baked mini gluten free vegan vanilla donuts,6.74 g,206.28 g,51.41 g
684,Dark Chocolate Cherry Walnut Truffles recipes,29.78 g,210.49 g,152.54 g
685,Vegan Beet Burgers with Sweet Chili Slaw,55.2 g,303.88 g,59.95 g
686,Appetizer Recipe: Miso Sweet Potato Bites,29.62 g,206.76 g,42.3 g
687,Vegan Snack Recipe: Toast with Hummus & Veggies,8.85 g,33.92 g,4.8 g
688,Vegan dal | Hidden veg red lentil dal,80.1 g,235.31 g,7.74 g
689,Vegan Olive Oil Cake w/Candied Rosemary,39.73 g,686.82 g,352.54 g
690,Red Lentil Soup with Lime,53.51 g,161.56 g,19.46 g
691,Our Favorite Chocolate Cake,25.32 g,408.54 g,105.86 g
692,Who Cares Vegan Mac and Cheese recipes,303.66 g,681.96 g,245.27 g
693,"SEXY CARAMEL SLICE (RAW, VEGAN, XO) recipes",99.61 g,812.75 g,256.02 g
694,The Saint Jamez Benedict,67.18 g,126.42 g,168.33 g
695,Mexican Mushroom and Spinach Sandwich (Vegan Torta) Recipe,47.97 g,185.14 g,66.94 g
696,"Vegan Mushroom ""Jerky"" (Slow-Roasted Mushroom Strips)",6.67 g,32.45 g,14.0 g
697,Roasted Vegan Cauliflower Soup with Parsley-Chive Swirl,125.49 g,260.01 g,367.16 g
698,Vegan “Cream” Of Broccoli Soup With Leeks And Scallions,27.64 g,114.23 g,30.7 g
699,Spaghetti and Soyballs,129.78 g,282.3 g,84.87 g
700,Vegan Pumpkin Pie With Rustic Spelt Crust,50.19 g,470.24 g,154.08 g
701,Raw Chili recipes,70.26 g,284.92 g,93.63 g
702,Vegan Southern-Style Collard Greens With Mushrooms Recipe,55.98 g,115.89 g,160.31 g
703,Organic Lentil and Rice Stuffed Peppers,115.69 g,347.98 g,40.9 g
704,Blender Sweet Potato Pie,20.34 g,253.96 g,98.65 g
705,Vegan Hot and Sour Soup with Tofu recipes,81.76 g,53.77 g,82.74 g
706,Jackfruit Sloppy Joes,24.71 g,272.95 g,26.66 g
707,Plain Cake Donut,14.5 g,404.4 g,76.58 g
708,"Vegan Farro Risotto with Fennel, Peas and Greens",41.38 g,190.32 g,76.47 g
709,Crisp Tofu and Thai Cucumber Raita,26.96 g,34.41 g,40.89 g
710,CrisSpi Asian Tofu Sandwich,150.3 g,464.12 g,119.07 g
711,Vegan Coconut-Lime Panna Cotta with Mango Jam,17.71 g,157.36 g,54.27 g
712,Asian Asparagus Salad With Peanuts and Mint Dressing [vegan],35.41 g,104.48 g,84.24 g
713,Vegan Kale and Black Sesame Sushi Bowl,33.12 g,258.51 g,45.52 g
714,Roasted Sweet Potato Salad with Candied Walnuts recipes,18.51 g,117.15 g,64.52 g
715,Vegan Curry Butternut Squash Soup With Kale Recipe,37.46 g,163.3 g,59.63 g
716,Vegan Cream of Mushroom and Wild Rice Soup,47.23 g,183.97 g,66.42 g
717,Vegetarian Pasta Puttanesca,54.02 g,303.41 g,75.85 g
718,Baked Yam Fries with Sriracha Hummus (Vegan + GF),33.02 g,169.41 g,42.68 g
719,Corn Soup with Tofu Larb,88.69 g,267.57 g,77.5 g
720,"Tomato, pepper & bean one pot",161.21 g,531.46 g,26.21 g
