,Recipe_name,Protein,Carbs,Fat
317,Vanilla Torte With Raspberry Filling And Chocolate Frosting,114.32 g,908.43 g,238.33 g
318,Vegan Asparagus Avocado Soup,40.99 g,112.72 g,125.04 g
319,Kale Slaw recipes,12.4 g,57.01 g,20.99 g
320,Inclusive Vegan Sour Cream,8.61 g,15.68 g,36.19 g
321,Vegan Chocolate-Ganache Frosting,19.52 g,191.74 g,165.39 g
322,Smoky spiced veggie rice,72.5 g,477.82 g,76.99 g
323,Vegan mac 'n' cheese,120.58 g,520.01 g,162.1 g
324,Easy Vegan Bacon Bits,59.11 g,49.68 g,0.38 g
325,Healthy Vegan Snacking recipes,6.02 g,127.9 g,1.98 g
326,Vegan BBQ teriyaki tofu,71.0 g,62.88 g,53.38 g
327,Vegan Lentil Soup Recipe,117.97 g,329.04 g,33.72 g
328,Vegan Carbonara Pasta Recipe,114.96 g,383.39 g,128.65 g
329,Vegan Coconut Chickpea Curry,86.87 g,501.32 g,53.58 g
330,Vegan Sweet Potato Casserole,36.04 g,307.12 g,110.7 g
331,Vegan Basil Cashew Pesto,28.42 g,30.95 g,99.52 g
332,Vegan lemon meringue pie,26.72 g,385.51 g,193.03 g
333,Vegan Grape Jelly recipes,1.09 g,99.98 g,0.24 g
334,Vegan Chickpea Coconut Curry,19.93 g,100.18 g,134.96 g
335,Chargrilled Artichokes Hummus [vegan],35.61 g,115.73 g,43.49 g
336,Easy Brown Rice & Veggie Wrap,11.03 g,52.26 g,19.43 g
337,Vegan Olive Oil Cake,36.09 g,492.72 g,221.5 g
338,Vegan Kaju Matar Masala | Vegan Cashew and Green Peas Curry,39.11 g,104.85 g,97.12 g
339,Vegan Fettuccine Alfredo Recipe,125.93 g,357.2 g,139.6 g
340,Asparagus Garlic Scape Pesto Spaghetti recipes,16.02 g,42.41 g,54.27 g
341,Vegan Chocolate Frosting recipes,7.27 g,143.81 g,160.91 g
342,The best vegan tacos,73.62 g,221.55 g,34.38 g
343,Vegan Superfood Buddha Bowls,74.84 g,234.13 g,70.8 g
344,Whole Spelt Vegan Pasta,17.2 g,98.28 g,15.52 g
345,Vegan Vanilla Ice Cream,25.52 g,107.14 g,61.4 g
346,Root Vegetables Jazzed Up!,8.66 g,99.05 g,14.91 g
347,Vegan Cashew Caesar Salad,38.86 g,89.46 g,101.6 g
348,Raw Vegan Coconut Macaroons,31.57 g,95.83 g,112.34 g
349,Vegan Strawberry Ice Cream,5.79 g,222.43 g,5.76 g
350,Simplest Chocolate Mousse,46.49 g,138.98 g,128.96 g
351,Vegan Peach Ice Scream,13.42 g,177.68 g,9.47 g
352,Roasted Veggie Brown Rice Buddha Bowl,29.38 g,45.68 g,19.5 g
353,Simple Vegan Pesto Zoodles,29.84 g,63.91 g,92.41 g
354,Vegan Mango Lassi recipes,5.81 g,155.67 g,10.77 g
355,Vegan Nectarine Ice Cream,12.36 g,151.54 g,97.35 g
356,Vegan Vanilla Ice Cream,17.21 g,115.94 g,180.87 g
357,Grilled Corn with Sriracha Mayo,21.18 g,84.51 g,72.18 g
358,Saweet! Potato Casserole with a Crunchy Nut Crumble recipes,66.71 g,586.67 g,225.24 g
359,Recent stonesoup vegan recipes,7.62 g,17.64 g,9.59 g
360,"Vegan ""Cheesy"" Pumpkin Seeds",83.58 g,32.84 g,153.89 g
361,Vegan Butternut Squash Soup,17.34 g,91.39 g,115.59 g
362,Vegan Lemon Asparagus Risotto,54.8 g,225.11 g,31.22 g
363,Satoimo (taro Root) Cooked In Miso With Tofu recipes,41.19 g,114.26 g,19.73 g
364,Cold Avocado Soup With Sweet Corn And Bacon,28.33 g,85.11 g,94.31 g
365,Cranberry-topped Sourdough Coffee Cake,43.4 g,518.9 g,141.93 g
366,No-Bake Strawberry Pie,18.95 g,373.66 g,70.16 g
367,Vegan Baked Banana Donuts,6.02 g,308.57 g,4.73 g
368,Jerseylicious Vegan Peach Pie,32.45 g,368.31 g,113.84 g
369,Vegan Caprese Salad recipes,61.81 g,46.18 g,75.54 g
370,Vegan Raw Plantain Salad,8.8 g,139.47 g,2.19 g
371,Vegan Fresh Pasta Dough.,35.58 g,262.82 g,7.89 g
372,Hearts of Baltimore Crab Cakes,30.74 g,84.99 g,104.24 g
373,Garlicky Baked Butternut Squash recipes,32.14 g,190.38 g,39.93 g
